"03HOGILS","HOG ISLAND ESSEQ RIVER","","GUY",0,0,1,-58.5167,6.8667,"058°31'00''","06°52'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03LAGRGE","LAGRANGE W.B.D","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03LARESO","LA RESOURCE W.B.D.","","GUY",0,0,3,-58.2333,6.7167,"058°14'00''","06°43'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03LNORAB","LEONORA BACK W.B.D.","","GUY",0,0,3,-58.2833,6.7833,"058°17'00''","06°47'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03LNORAC","LEONORA CORNER W.C.D","","GUY",0,0,3,-58.2833,6.7833,"058°17'00''","06°47'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03LNORAF","LEONORA FRONT W.C.D","","GUY",0,0,1,-58.2833,6.8667,"058°17'00''","06°52'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03MARIPA","MARIPA","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03MELWAK","MELVILLE WAKENAAM","","GUY",0,0,1,-58.4667,6.95,"058°28'00''","06°57'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03NYMACK","Naamkyck","Naamkyck","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03PARHAR","PARAFEIT HARMOINE","PARAFEIT HARMOINE","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03PARIKA","PARIKA","PARIKA","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03POTOSI","POTOSI W.B.D","","GUY",0,0,1,-58.2,6.6667,"058°12'00''","06°40'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03REYNSF","REYNESTEIN FRONT W.B.D","","GUY",0,0,1,-58.2,6.6333,"058°12'00''","06°38'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03REYSNB","REYNESTEIN BACK W.B.D","","GUY",0,0,1,-58.2167,6.6333,"058°13'00''","06°38'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03RHPRIM","RICHMONDHILL PRIMARY","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03SANTMS","SANTA MISSION","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03SCHNBK","SCHOON ORD BACK","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03SCHNFR","SCHOON ORD FRONT","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03STRYKH","STRYK EN HEUVEL","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03TUSENF","TUSCHEN FRONT W.C.D","","GUY",0,0,64,-58.35,5.8667,"058°21'00''","05°52'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03UIVLBK","UITVLUGT BACK W.C.D","","GUY",0,0,2,-58.3167,6.8,"058°19'00''","06°48'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03UIVLFR","UITVLUGT FRONT W.C.D","","GUY",0,0,1,-58.3,6.8667,"058°18'00''","06°52'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03VERSAL","VERSAILLES","VERSAILLES","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03VERSLB","VERSAILLES BACK W.B.D","","GUY",0,0,1,-58.2333,6.7833,"058°14'00''","06°47'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03VERSLF","VERSAILLES FRONT W.B.D","","GUY",0,0,1,-58.1833,6.7833,"058°11'00''","06°47'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03VRYLNF","VRIESLAND FRONT W.B.D","","GUY",0,0,1,-58.2,6.6833,"058°12'00''","06°41'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03VRYLNM","VRIESLAND BACK W.B.D","","GUY",0,0,2,-58.2167,6.6833,"058°13'00''","06°41'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03WAKNAM","SANS SOUCI WAKENAAM ESEQ","","GUY",0,0,1,-58.4667,6.95,"058°28'00''","06°57'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03WALESF","WALES FRONT W.B.D","","GUY",0,0,1,-58.2,6.7,"058°12'00''","06°42'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03WARIBC","WARIMIA COMMISSIONER","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03WINDSF","WINDSOR FOREST W.C.D.","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03YUNGRA","YOUNG RACHAEL W.B.D","","GUY",0,0,3,-58.2333,6.6833,"058°14'00''","06°41'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ALBAIB","Little Baiboo","","GUY",0,0,3,-57.619,6.32,"057°37'08''","06°19'12''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04AMADUN","Maduni","","GUY",0,0,5,-58.0349,6.5018,"058°02'06''","06°30'06''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ANWWC","NWWC AWS","","GUY",0,0,94,-58.25,6.5,"058°15'00''","06°30'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ASTCRG","St.Cuthbert's Mission RG","","GUY",0,0,6,-58.576,6.988,"058°34'34''","06°59'17''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ASTCWL","St.Cuthbert's Mission WL","","GUY",0,0,51,-58.785,6.972,"058°47'06''","06°58'19''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04BEEHIV","BEE HIVE","","GUY",0,0,0,57.941111,6.731389,"057°56'28''","06°43'53''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04BXTNFL","BUXTON FARM LANDS","","GUY",0,0,0,0,6.786944,"","06°46'73''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04CAKKSI","Canje River","Canje River","GUY",0,0,0,0,-57.5958,"W","0","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04CANAAN","Land of Canaan","Land of Canaan","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04CAREBR","Canje River","Canje River","GUY",0,0,0,0,-57.618,"W","0","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04CGROVB","CANE GROVE BACK E.C.D","","GUY",0,0,1,-57.8833,6.6167,"057°53'00''","06°37'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04CGROVF","CANE GROVE FRONT E.C.D","","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04COVJON","COVE & JOHN POLICE STN","","GUY",0,0,1,-57.9667,6.75,"057°58'00''","06°45'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04DIAMOF","DIAMOND FRONT E.B.D","","GUY",0,0,1,-58.1833,6.7167,"058°11'00''","06°43'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04EDWCF","East Demerara Water Cons.","East Demerara Water Cons.","GUY",0,0,0,0,-57.7472,"W","0","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ENMORB","ENMORE BACK E.C.D","","GUY",0,0,1,-58.0167,6.7,"058°01'00''","06°42'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ENMORF","ENMORE FRONT E.C.D","","GUY",0,0,1,-57.9833,6.7333,"057°59'00''","06°44'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04ENTPEC","Enterprise E.C.D","Enterprise E.C.D","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04FRIDSH","FRIENDSHIP E.B.D","","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04FRISEC","Friendship E.C.D","Friendship E.C.D","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04GEOBOT","GEORGETOWN BOT. GARDENS","","GUY",0,0,1,-58.1333,6.8,"058°08'00''","06°48'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04GEOPRM","GEORGETOWN PROMENADE GDN","","GUY",0,0,1,-58.15,6.8167,"058°09'00''","06°49'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04GHOPEC","Good Hope E.C.D","Good Hope E.C.D","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04GTKNG","Georgetown Tide gauge","Georgetown Tide gauge","GUY",0,0,0,0,-58.15,"W","0","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04IKUBEL","Ikuruwa River","Ikuruwa River","GUY",0,0,0,0,-57.4097,"W","0","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04KYRUNI","KAIRUNI LINDEN HIGHWAY","","GUY",0,0,40,-58.2333,6.15,"058°14'00''","06°09'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04LALUNI","LALUNI","","GUY",0,0,8,-58.1,6.5167,"058°06'00''","06°31'00''","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04LAMA","Lama","","GUY",0,0,17,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04LAMSHB","Lamaha Canal","Lamaha Canal","GUY",0,0,0,0,-58.0847,"W","0","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"04LBIAST","LBI Agro Station","La Bonne Intention Agro Station","GUY",0,0,0,0,0,"","","R4","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
